Date,Open,High,Low,Close,Adj Close,Volume
2019-01-29,9114.519531,9114.519531,9006.379883,9006.379883,9006.379883,24515100
2019-01-30,9006.379883,9015.169922,8924.849609,8925.519531,8925.519531,32859200
2019-01-31,8925.519531,8998.110352,8925.519531,8985.339844,8985.339844,28251200
2019-02-01,8985.339844,9006.419922,8974.339844,8999.169922,8999.169922,29969400
2019-02-04,8999.169922,9002.870117,8972.160156,8979.410156,8979.410156,18782600
2019-02-05,8979.410156,9073.719727,8979.410156,9073.719727,9073.719727,25215200
2019-02-07,9073.719727,9156.719727,9073.719727,9133.509766,9133.509766,23185100
2019-02-08,9133.509766,9176.610352,9079.519531,9176.610352,9176.610352,24338900
2019-02-11,9176.610352,9230.099609,9167.759766,9210.000000,9210.000000,20904000
2019-02-12,9210.000000,9281.339844,9201.120117,9280.769531,9280.769531,40209800
2019-02-13,9280.769531,9365.269531,9280.769531,9333.379883,9333.379883,36711300
2019-02-14,9333.379883,9356.169922,9284.919922,9284.919922,9284.919922,31466600
2019-02-15,9284.919922,9284.919922,9243.269531,9245.650391,9245.650391,24606200
2019-02-18,9245.650391,9312.530273,9241.070313,9245.440430,9245.440430,19398800
2019-02-19,9245.440430,9245.440430,9173.440430,9224.259766,9224.259766,24721800
2019-02-20,9224.259766,9287.360352,9224.259766,9249.440430,9249.440430,34142300
2019-02-21,9249.440430,9338.549805,9249.440430,9300.809570,9300.809570,33937300
2019-02-22,9300.809570,9337.349609,9277.610352,9309.209961,9309.209961,35136100
2019-02-25,9309.209961,9345.009766,9296.240234,9344.629883,9344.629883,32773500
2019-02-26,9344.629883,9367.379883,9320.019531,9323.129883,9323.129883,29850300
2019-02-27,9323.129883,9326.830078,9281.469727,9281.469727,9281.469727,59368900
2019-02-28,9287.919922,9332.269531,9281.360352,9325.030273,9325.030273,53684000
2019-03-01,9326.019531,9382.330078,9302.669922,9351.679688,9351.679688,44796600
2019-03-04,9352.190430,9420.139648,9352.190430,9413.490234,9413.490234,25495700
2019-03-05,9413.490234,9415.820313,9376.490234,9399.690430,9399.690430,31334300
2019-03-06,9402.459961,9430.240234,9401.700195,9415.000000,9415.000000,40411100
2019-03-07,9422.809570,9442.540039,9410.599609,9437.360352,9437.360352,27999600
2019-03-08,9437.690430,9475.450195,9422.200195,9440.269531,9440.269531,32794300
2019-03-11,9440.269531,9445.790039,9388.519531,9390.849609,9390.849609,32072600
2019-03-12,9393.620117,9429.259766,9384.280273,9397.250000,9397.250000,37274200
2019-03-13,9400.929688,9408.349609,9361.070313,9387.690430,9387.690430,47142600
2019-03-14,9424.099609,9435.500000,9389.469727,9435.500000,9435.500000,104937600
2019-03-15,9435.500000,9473.269531,9424.209961,9473.269531,9473.269531,104027800
2019-03-18,9477.209961,9515.120117,9463.049805,9515.120117,9515.120117,18344200
2019-03-19,9515.120117,9526.870117,9483.400391,9497.269531,9497.269531,20921700
2019-03-20,9508.169922,9508.169922,9425.780273,9435.700195,9435.700195,24189000
2019-03-21,9452.070313,9461.519531,9413.009766,9461.309570,9461.309570,21590600
2019-03-22,9461.309570,9550.990234,9461.309570,9550.990234,9550.990234,23120800
2019-03-25,9550.990234,9550.990234,9461.269531,9519.309570,9519.309570,20743000
2019-03-26,9519.309570,9574.820313,9511.059570,9574.820313,9574.820313,47519500
2019-03-27,9574.820313,9701.750000,9574.820313,9698.889648,9698.889648,35008100
2019-03-28,9710.700195,9772.309570,9702.080078,9766.190430,9766.190430,21942600
2019-03-29,9766.190430,9844.950195,9750.910156,9844.950195,9844.950195,29322700
2019-04-01,9844.950195,9878.549805,9804.000000,9853.910156,9853.910156,28695000
2019-04-02,9853.910156,9958.349609,9853.910156,9958.349609,9958.349609,28729600
2019-04-03,9963.860352,9963.860352,9878.820313,9939.259766,9939.259766,36410200
2019-04-04,9939.259766,9939.259766,9869.389648,9892.599609,9892.599609,31135700
2019-04-05,9892.599609,9895.299805,9808.019531,9857.049805,9857.049805,27569900
2019-04-08,9857.049805,9857.049805,9807.080078,9807.080078,9807.080078,25834100
2019-04-09,9807.080078,9822.769531,9770.759766,9787.299805,9787.299805,30858900
2019-04-10,9787.299805,9787.299805,9705.700195,9707.959961,9707.959961,31928500
2019-04-11,9707.959961,9773.080078,9707.959961,9766.599609,9766.599609,28087100
2019-04-12,9766.599609,9773.790039,9752.959961,9768.330078,9768.330078,20765300
2019-04-15,9768.330078,9846.349609,9768.330078,9846.349609,9846.349609,22185300
2019-04-16,9846.349609,9908.389648,9846.349609,9908.389648,9908.389648,24042000
2019-04-17,9908.389648,9982.240234,9908.389648,9982.240234,9982.240234,23200200
2019-04-18,9982.240234,9982.240234,9932.860352,9959.620117,9959.620117,18283600
2019-04-23,9959.620117,10036.000000,9959.620117,10004.839844,10004.839844,15300400
2019-04-24,10004.839844,10083.809570,10004.839844,10071.740234,10071.740234,20826400
2019-04-26,10071.740234,10071.740234,9994.570313,9994.570313,9994.570313,26756400
2019-04-29,9994.570313,10056.799805,9994.570313,10012.769531,10012.769531,21444100
2019-04-30,10012.769531,10047.820313,10009.950195,10013.830078,10013.830078,35469000
2019-05-01,10013.830078,10013.830078,9938.509766,9966.419922,9966.419922,17409200
2019-05-02,9966.419922,10084.990234,9957.540039,10084.990234,10084.990234,47823000
2019-05-03,10085.750000,10087.910156,10020.570313,10058.080078,10058.080078,49837200
2019-05-06,10058.080078,10058.080078,9948.240234,9960.620117,9960.620117,22813400
2019-05-07,9960.620117,10035.299805,9960.620117,10027.389648,10027.389648,26248500
2019-05-08,10027.389648,10063.910156,9950.679688,10063.049805,10063.049805,31163800
2019-05-09,10063.049805,10114.530273,10060.669922,10104.349609,10104.349609,40288900
2019-05-10,10104.349609,10123.320313,10082.889648,10099.370117,10099.370117,27263400
2019-05-13,10101.089844,10143.559570,10088.610352,10126.830078,10126.830078,15594300
2019-05-14,10127.719727,10127.719727,10002.730469,10070.349609,10070.349609,32640500
2019-05-15,10070.349609,10171.889648,10070.349609,10131.580078,10131.580078,32242200
2019-05-16,10146.179688,10213.639648,10146.179688,10176.990234,10176.990234,23435200
2019-05-17,10176.990234,10231.719727,10174.900391,10180.799805,10180.799805,21923100
2019-05-20,10180.799805,10234.150391,10180.799805,10234.150391,10234.150391,17428200
2019-05-21,10234.150391,10254.889648,10190.639648,10216.089844,10216.089844,25239700
2019-05-22,10216.089844,10251.320313,10216.089844,10237.480469,10237.480469,24298200
